Team,Threat Matrix,Vulnerability / Security Control,Description,Control Type,Risk Register,PDF Reference
Platform Engineering,Deployment & Runtime Security,Resource Limits,"Enforce CPU, memory, and network resource usage limits per container and per tool to prevent DoS and resource exhaustion. Apply quotas via Kubernetes LimitRange/ResourceQuota.",Tool,Must-Have,p.25 (§3.7); p.34 (§4.3)
DevSecOps,Code & Data Integrity,Integrity Verification Mechanisms,"Use digital signatures, cryptographic hash checks (SHA-256+), and SLSA-conformant provenance attestations to ensure code has not been tampered with. Verify signatures at install and update time.",Tool,Must-Have,p.17-18 (§3.2); p.37-38 (§4.4)
AppSec,Code & Data Integrity,Remote Validation,Support mechanisms for remote verification of code integrity using Sigstore/Cosign or equivalent transparency logs. Reject unsigned or hash-mismatched artifacts at admission.,Tool,Must-Have,p.37-38 (§4.4)
AppSec,Code & Data Integrity,Code Obfuscation & Hardening,Apply code obfuscation and hardening techniques to increase the difficulty of reverse engineering. Use SAST and software composition analysis in CI/CD pipelines.,Process,Nice-to-Have,p.18 (§3.2)
DevSecOps,Supply Chain Security,Dependency Management,Securely manage third-party dependencies. Run software composition analysis (SCA) and SAST in CI. Pin dependency versions and verify hashes. Monitor for known CVEs in transitive dependencies.,Tool,Must-Have,p.17-18 (§3.2); p.26 (§3.7)
DevSecOps,Supply Chain Security,Package Integrity,Verify the integrity and authenticity of packages using cryptographic hash checks and signed package manifests before install. Block packages from unverified sources.,Tool,Must-Have,p.17-18 (§3.2); p.37-38 (§4.4)
DevSecOps,Supply Chain Security,Source Verification,"Validate the source of all code and dependencies against a curated, organization-approved registry. Only allow tools from allow-listed origins with stable identifiers such as image digests.",Process,Must-Have,p.18 (§3.2); p.37-38 (§4.4)
DevSecOps,Supply Chain Security,Secure Build,"Ensure the build process is secure using hardened CI/CD pipelines with SLSA supply-chain integrity objectives, signed artifacts, and build provenance attestation.",Tool,Must-Have,p.17-18 (§3.2); p.30 (§4)
SRE,Monitoring & Logging,Anomaly Detection,"Detect and report anomalous activity patterns using behavioral baselines over per-tool call frequency, prompt length, response size, and tool-chain fan-out. Alert on deviations.",Tool,Must-Have,p.40 (§4.6)
SRE,Monitoring & Logging,Detailed Logging,"Log all service activities and security events including authentication attempts, tool invocations, configuration edits, and policy decisions as structured, immutable audit records.",Tool,Must-Have,p.40-41 (§4.6)
SRE,Monitoring & Logging,Security Event Alerts,"Configure real-time alerts for critical security events: auth failures, policy denials, WAF/HIDS hits, sandbox escapes, and exfiltration indicators (unusual egress volume or destination).",Tool,Must-Have,p.37 (Table 6); p.40-41 (§4.6)
SRE,Monitoring & Logging,Centralized Log Management,"Collect and analyze logs from all MCP components in a centralized SIEM (e.g. Splunk or Elastic) to reconstruct incident timelines across hosts, clients, and servers.",Tool,Must-Have,p.40 (§4.6)
SRE,Monitoring & Logging,Log Integrity,"Ensure log integrity using append-only/WORM storage, chained hashing of records, and periodic anchoring to an external trusted timestamping service to prevent tampering.",Tool,Must-Have,p.40-41 (§4.6); p.37 (Table 6)
SRE,Monitoring & Logging,Audit Capability,Provide detailed auditing and incident investigation capabilities including distributed tracing that correlates edge-to-server-to-tool for each request. Retain logs aligned with regulatory minima.,Process,Must-Have,p.40-41 (§4.6)
Platform Engineering,Invocation Environment Isolation,Isolation Between MCP Instances,"Ensure operational isolation among multiple MCP Servers using dedicated pods with separate service accounts, network policies, and minimal RBAC footprints.",Tool,Must-Have,p.25 (§3.7); p.34-35 (§4.3)
Platform Engineering,Invocation Environment Isolation,Resource Access Control,Assign each MCP Server a clearly defined resource access boundary enforced via Kubernetes NetworkPolicies and fine-grained RBAC. Restrict to approved MCP servers and internal control endpoints only.,Tool,Must-Have,p.35-36 (§4.3)
AppSec,Invocation Environment Isolation,Tool Permission Separation,"Use distinct, narrowly scoped permission sets for tools in different domains. Each tool invocation should mint its own audience-limited, scope-limited OAuth token.",Process,Must-Have,p.38-39 (§4.5)
Platform Engineering,Platform Compatibility & Security,System Resource Isolation,"Implement suitable resource isolation strategies according to different operating system characteristics including seccomp, AppArmor, SELinux, and no_new_privs flags.",Tool,Must-Have,p.35 (§4.3)
QA,Platform Compatibility & Security,Cross-platform Compatibility Testing,"Test consistent security behavior of MCP Server across different OS and clients, including verifying that security controls are not bypassed by platform-specific edge cases.",Process,Nice-to-Have,p.43 (§5)
QA,Platform Compatibility & Security,Platform-specific Risk Assessment,Evaluate unique security risks specific to each platform and apply mitigating measures. Conduct red-team exercises and include MCP-specific attack scenarios in test suites.,Process,Nice-to-Have,p.47-48 (§7.2)
AppSec,Platform Compatibility & Security,Client-specific Handling,"Ensure security controls can adapt to differences among various client implementations. Validate behavior across Claude, Cursor, Windsurf, and other MCP-aware clients.",Process,Nice-to-Have,p.46 (§6)
Data,Data Security & Privacy,Data Minimization,Collect and process only the necessary data. Apply emergent aggregation risk controls — limit cross-tool context accumulation that could reveal sensitive patterns no single call would expose.,Process,Must-Have,p.22-23 (§3.5)
Data,Data Security & Privacy,Data Encryption,Encrypt sensitive data in storage (AES-256) and transit (TLS 1.2+). Enforce mutual TLS for service-to-service MCP communications inside clusters.,Tool,Must-Have,p.6 (§2.1); p.32 (§4.1)
Data,Data Security & Privacy,Data Isolation,Ensure effective isolation of different users' and tenants' data. Enforce session boundaries to prevent cross-tenant context leakage in shared MCP server deployments.,Tool,Must-Have,p.27-28 (§3.8)
Data,Data Security & Privacy,Data Access Control,Enforce strict access controls on data using RBAC/ABAC. Prevent cross-tool data flows that redirect internal content to external endpoints without explicit authorization.,Tool,Must-Have,p.22-23 (§3.5); p.38-39 (§4.5)
Data,Data Security & Privacy,Sensitive Data Identification,"Automatically identify and handle sensitive data including PII, credentials, and proprietary content. Scrub or tokenize before logs are aggregated. Apply DLP scanning on model responses.",Tool,Must-Have,p.40-41 (§4.6)
AppSec,Resources Security,Resource Access Control,Implement fine-grained access control for resources using scoped OAuth tokens per resource type. Validate audience and scope on every request; reject calls that exceed the policy attached to the resource.,Tool,Must-Have,p.38-39 (§4.5)
Platform Engineering,Resources Security,Resource Limits,"Limit the size and quantity of a single resource. Enforce rate limits per user, agent, or session to prevent resource exhaustion and DoS.",Tool,Must-Have,p.25 (§3.7)
AppSec,Resources Security,Resource Template Security,Validate and sanitize template parameters of resources. Treat resource templates as untrusted input; enforce strict schemas and character allow-lists.,Process,Must-Have,p.36-37 (§4.3)
Data,Resources Security,Sensitive Resource Labeling,Label and handle sensitive resources distinctly. Apply tiered sensitivity classification and enforce stronger authorization gates for high-sensitivity resource access.,Process,Nice-to-Have,p.23 (§3.6)
AppSec,Tools Security,Secure Coding Practices,"Adhere to security coding standards and best practices including OWASP guidelines, input validation cheat sheets, and MCP-specific hardening guidance.",Guideline,Must-Have,p.33 (§4.1)
Platform Engineering,Tools Security,Tool Isolation,"Execute tools in a controlled environment to prevent system-level impact. Use per-tool containers with read-only root filesystems, non-root execution, and default-deny egress.",Tool,Must-Have,p.25 (§3.7); p.34 (§4.3)
AppSec,Tools Security,Input Validation,"Strictly validate all inputs from clients against defined schemas before tool execution. Reject malformed, oversized, or policy-violating parameters at the gateway layer.",Tool,Must-Have,p.33 (§4.1)
AppSec,Tools Security,Tool Permission Control,"Each tool should have only the minimum permissions needed to complete its task. Mint scoped, short-lived OAuth tokens per invocation; enforce audience and scope at the server before execution.",Process,Must-Have,p.38-39 (§4.5)
AppSec,Tools Security,Data Validation,Validate the data processed by tools to prevent injection or tampering. Do not insert returned third-party data directly into model context without sanitization.,Process,Must-Have,p.20-21 (§3.4)
AppSec,Tools Security,Tool Behavior Constraints,"Restrict the range and types of actions a tool can perform using allow-lists of permitted operations, domains, and file paths. Enforce directory allow-lists at creation time.",Process,Must-Have,p.31-32 (§4.1)
AppSec,Tools Security,Third-party Interface Response Security,Verify that returned information from third-party interfaces matches expected schemas. Do not directly insert returned data into model context; sanitize and validate first to prevent format-embedded poisoning.,Process,Must-Have,p.20-21 (§3.4)
AppSec,Tools Security,Error Handling,"Handle errors securely without exposing sensitive information such as stack traces, internal URLs, or credentials in error responses visible to the model or end user.",Guideline,Must-Have,p.28 (§3.8)
AppSec,Tools Security,Namespace Isolation,Enforce strict namespace isolation for different tools to prevent command and function collisions. Use unique identifiers or namespaces to prevent one server's tools from shadowing another's.,Tool,Must-Have,p.20 (§3.3)
Application Development,User Interaction Security,User Interface Security,"The UI should clearly display the scope of AI operations and potential impacts, offering an intuitive security indicator and consent mechanism for tool invocations.",Guideline,Must-Have,p.48 (§7.3)
Application Development,User Interaction Security,Confirmation of Sensitive Operations,"High-risk operations (e.g. file deletion, fund transfers, irreversible actions) must explicitly require user confirmation. Present structured context showing data read/write scope and external contacts.",Process,Must-Have,p.39 (§4.5); p.48 (§7.3)
Application Development,User Interaction Security,Transparency in Permission Requests,Permission requests should explicitly state their purpose and scope so users can make informed decisions and avoid over-authorization. Highlight scope mismatches and escalate to a higher trust tier.,Guideline,Must-Have,p.39 (§4.5); p.48 (§7.3)
Application Development,User Interaction Security,Operation Visualization,"Tool invocation and data access should be visible and auditable by users, accompanied by detailed operation logs and distributed tracing correlated across host, client, and server.",Tool,Must-Have,p.40 (§4.6)
Application Development,User Interaction Security,Information Transparency,Tools should allow users to choose whether to display hidden tags by default (such as <SECRET>) to prevent malicious logic embedding and ANSI escape code injection.,Guideline,Nice-to-Have,p.20 (§3.3)
Application Development,User Interaction Security,Status Feedback,"Users should be able to clearly understand the current MCP operations in progress, including which tools are active and what data is being accessed.",Guideline,Nice-to-Have,p.48 (§7.3)
SRE,AI Control & Monitoring,Operation Logging,"Record all critical AI operations and their results using structured, immutable audit logs. Correlate tool invocations with identity claims, token status, and policy decisions.",Tool,Must-Have,p.40-41 (§4.6)
SRE,AI Control & Monitoring,Anomaly Detection,"Detect abnormal patterns of tool invocation or request sequences using behavioral baselines. Flag sudden spikes in tool usage, unusually long prompts, or unexpected fan-out across servers.",Tool,Must-Have,p.40 (§4.6)
AppSec,AI Control & Monitoring,Tool Invocation Limitation,"Impose frequency and quantity limits on tool calls per user, agent, and session. Block runaway workflows that could exhaust resources or trigger denial of service.",Tool,Must-Have,p.25 (§3.7)
Platform Engineering,Local Storage Security,Credential Secure Storage,Use a system keychain or dedicated encrypted storage for sensitive credentials to prevent unauthorized access. Apply a secret-broker pattern so tools receive ephemeral vault-issued credentials.,Tool,Must-Have,p.36 (§4.3); p.22 (§3.5)
Data,Local Storage Security,Sensitive Data Isolation,"Implement mechanisms to isolate sensitive user data from ordinary data in storage and processing. Sanitize residual data in logs, caches, and crash dumps after session ends.",Process,Must-Have,p.22 (§3.5)
DevSecOps,Application Security,Application Integrity,Validate the integrity of the application and MCP plugins to prevent tampering. Verify digital signatures via Cosign/Sigstore at install and update time; fail closed on signature mismatch.,Tool,Must-Have,p.37-38 (§4.4)
AppSec,Application Security,Update Verification,Verify the digital signatures of Host application updates and MCP tool definitions. Treat any change to a tool definition as untrusted until re-validated; require fresh approval workflows.,Tool,Must-Have,p.37-38 (§4.4)
Platform Engineering,Application Security,Application Sandbox,"Whenever possible, run the application in a sandbox environment to limit system access. Apply gVisor or equivalent sandboxing runtimes for untrusted tool execution.",Tool,Must-Have,p.25 (§3.7); p.34-35 (§4.3)
AppSec,Client Authentication & Authorization,Mandatory Authentication,"Enforce authentication before communicating with any critical MCP Server, preventing anonymous access. Implement per-request identity verification rather than relying on session-level trust.",Tool,Must-Have,p.14-15 (§3.1); p.33 (§4.2)
AppSec,Client Authentication & Authorization,OAuth Implementation,"Correctly implement OAuth 2.1 or higher, following best practices. Enforce audience-bound tokens; validate issuer, audience, scope, and expiration on every request; deny expired or wrong-audience tokens.",Tool,Must-Have,p.7-8 (§2.1); p.33-34 (§4.2)
AppSec,Client Authentication & Authorization,State Parameter,"For web clients, use a state parameter to mitigate CSRF attacks, employing a unique random value for each authorization request.",Tool,Must-Have,p.7-8 (§2.1)
AI,MCP Tools & Servers Management,MCP Tool Verification,Validate the authenticity and integrity of registered tools by verifying cryptographic signatures and hashes before admission. Reject unknown tool IDs or hash-mismatched definitions.,Tool,Must-Have,p.37-38 (§4.4); p.42-44 (§5)
DevSecOps,MCP Tools & Servers Management,Secure Updates,The MCP client should regularly check for and apply security updates. Treat any post-approval tool definition change as untrusted — require re-validation to detect rug-pull style redefinitions.,Process,Must-Have,p.19 (§3.3); p.38 (§4.4)
AppSec,MCP Tools & Servers Management,Function Name Checking,Check for name conflicts or malicious overwriting before registering any tool. Use namespaces or unique identifiers to prevent cross-server tool shadowing and command collisions.,Process,Must-Have,p.18-19 (§3.3); p.20 (§3.3)
AI,MCP Tools & Servers Management,Malicious MCP Detection,"Monitor and identify potentially malicious MCP behavior including poisoned tool metadata, hidden instructions in descriptions, ANSI escape code injection, and preference manipulation.",Tool,Must-Have,p.18-20 (§3.3)
AppSec,MCP Tools & Servers Management,MCP Tool Naming Control,Use namespaces or unique identifiers to avoid naming collisions. Enforce a curated allow-list of approved tool names and origins; reject discovery of tools outside the list.,Process,Must-Have,p.19 (§3.3); p.39 (§4.5)
AppSec,MCP Tools & Servers Management,Server Directory,"Maintain an authorized registry of trustworthy MCP Servers and tools with recorded versions, hashes, and cryptographic signatures stored in tamper-evident transparency logs.",Tool,Must-Have,p.37-38 (§4.4)
AppSec,MCP Tools & Servers Management,Conflict Resolution,Establish clear rules to resolve tool name conflicts using explicit priority rules and provenance verification. Document and enforce disambiguation policies across all MCP hosts.,Process,Must-Have,p.20 (§3.3)
Platform Engineering,MCP Tools & Servers Management,Domain Isolation,Isolate tools in different domains to prevent cross-impact. Use dedicated containers and network policies per tool domain to contain blast radius.,Tool,Must-Have,p.34-36 (§4.3)
AppSec,MCP Tools & Servers Management,Priority Mechanism,Set explicit tool priority rules to avoid malicious overwriting. Bind to specific signed versions rather than whatever happens to be served under a name at invocation time.,Process,Must-Have,p.19 (§3.3)
DevSecOps,MCP Tools & Servers Management,Version Control,"Version functions and tools to detect changes. Use immutable, cryptographically signed tool definitions — any change in behavior requires a new version and renewed approval.",Tool,Must-Have,p.19 (§3.3); p.38 (§4.4)
DevSecOps,MCP Tools & Servers Management,Tool Registration & Deregistration Mechanism,Define clear processes for tool registration and de-registration to prevent leftover tools posing security risks. Treat the server tool list as the single source of truth and actively remove stale entries.,Process,Must-Have,p.28 (§3.8)
AppSec,MCP Tools & Servers Management,Conflict Detection Mechanism,Detect and resolve function and resource conflicts in multi-MCP environments including cross-origin tool shadowing and slash-command overlap.,Tool,Must-Have,p.20 (§3.3)
AI,MCP Tools & Servers Management,Tool Classification,Classify tools according to sensitivity and risk level. Apply risk-aware differentiation — route high-sensitivity tool calls through stronger authorization gates and just-in-time access controls.,Process,Must-Have,p.23 (§3.6)
AppSec,Prompt Security,Prompt Injection Defense,"Implement layered defense measures to prevent prompt injection attacks including gateway-level payload blocking, output sanitization, and manual verification for critical executions.",Tool,Must-Have,p.20-21 (§3.4); p.31-32 (§4.1)
AI,Prompt Security,Malicious Instruction Detection,"Detect and block potential malicious instructions embedded in tool descriptions, prompt templates, retrieved documents, or third-party API responses before surfacing to the model.",Tool,Must-Have,p.18 (§3.3); p.21 (§3.4)
AppSec,Prompt Security,System Prompt Protection,Clearly separate system prompts from user inputs to prevent tampering. Enforce strict schemas and sanitization on tool metadata and prompts before exposure to the model.,Process,Must-Have,p.36-37 (§4.3)
Data,Prompt Security,Sensitive Data Filtering,"Filter out sensitive personal data, credentials, and PII from prompts and context using DLP controls. Scrub or tokenize before logs are aggregated.",Tool,Must-Have,p.41 (§4.6)
AppSec,Prompt Security,Context Isolation,Ensure that contexts from different sources remain isolated to prevent contamination or information leakage. Separate retrieval-based content from trusted system instructions.,Process,Must-Have,p.20-21 (§3.4)
AI,Prompt Security,Prompt Templates,Use secure prompt templates from vetted servers only. Treat server-supplied templates as untrusted input; validate before injecting into the model context.,Guideline,Must-Have,p.20 (§3.4)
AI,Prompt Security,Tool Description Verification,"Check tool descriptions for potential malicious instructions, hidden directives, ANSI escape sequences, and preference manipulation phrasing before surfacing during discovery.",Tool,Must-Have,p.18-20 (§3.3)
QA,Prompt Security,Prompt Consistency Verification,Ensure that identical prompts produce predictable and consistent results across different environments. Include adversarial prompt test cases in security benchmarks.,Process,Nice-to-Have,p.47-48 (§7.2)
Data,Prompt Security,Historical Context Management,Clearly define the mechanism for cleaning up historical context to prevent data buildup and leakage. Apply explicit session teardown and context purge policies.,Process,Must-Have,p.22 (§3.5)
SRE,Logging & Auditing,Client Logging,"Record all interactions with the MCP Server, tool calls, and authorization activities as structured traces capturing principal identity, token status, targeted server/tool, method, latency, and outcome.",Tool,Must-Have,p.40-41 (§4.6)
SRE,Logging & Auditing,Security Event Recording,"Log all security-related events including authorization failures, policy denials, and anomalous tool call sequences. Route to immutable, tamper-evident centralized storage.",Tool,Must-Have,p.40-41 (§4.6)
SRE,Logging & Auditing,Anomaly Alerts,"Detect and alert on abnormal activity patterns including consent fatigue signals, unusual prompt sizes, unexpected tool chains, and egress to newly observed domains.",Tool,Must-Have,p.40-41 (§4.6)
Network,Server Verification & Communication Security,Server Identity Verification,Verify the identity of the MCP Server before connecting. Implement certificate pinning or PKI-based verification. Reject connections to servers with self-signed or mismatched certificates.,Tool,Must-Have,p.14-15 (§3.1); p.37-38 (§4.4)
Network,Server Verification & Communication Security,Certificate Validation,Strictly validate TLS certificates of remote Servers to prevent Man-in-the-Middle (MitM) attacks. Enforce strong cipher suites; disable TLS 1.0/1.1; reject expired or invalid certificates.,Tool,Must-Have,p.14-15 (§3.1); p.32 (§4.1)
Network,Server Verification & Communication Security,Encrypted Communication,Use TLS 1.2+ to encrypt all Client-Server communications; disable weak cipher suites. Apply mutual TLS for service-to-service MCP traffic inside clusters using a service mesh.,Tool,Must-Have,p.6 (§2.1); p.32 (§4.1)
Network,Server Verification & Communication Security,Secure Protocol Configuration,"Configure secure TLS parameters, regularly review and update encryption algorithms. Enforce default-deny egress with explicit allow-lists of permitted destinations.",Process,Must-Have,p.32-33 (§4.1)
AppSec,Permission Token Storage & Management,Permission Scope Limitation,"Strictly limit the scope of tokens under the principle of least privilege. Mint audience-bound, service-specific, short-lived tokens per tool invocation; forbid passthrough to third-party APIs.",Tool,Must-Have,p.38-39 (§4.5)
AI,Auto-approve Control: Whitelist Management,Auto-approve Restrictions,Carefully control which tools and operations can be auto-approved. Pause automatic use when a tool is first encountered or a new version is detected; require fresh approval.,Process,Must-Have,p.23 (§3.6); p.39 (§4.5)
AI,Auto-approve Control: Whitelist Management,Whitelist Mechanism,"Maintain an explicit whitelist of tools and operations that can be auto-approved, pinned by registry origin, image digest, or UUID. Reject discovery of tools outside the allow-list.",Tool,Must-Have,p.39 (§4.5)
AI,Auto-approve Control: Whitelist Management,Dynamic Risk Assessment,"Dynamically adjust auto-approve policies based on runtime context, time-of-day, data sensitivity, and recent anomaly signals. Apply context-aware revalidation when conditions change.",Process,Must-Have,p.23-24 (§3.6)
SRE,Auto-approve Control: Whitelist Management,Approval Process Auditing,"Log and audit all auto-approval decisions including the tool identity, scope granted, approving principal, and timestamp. Flag scope-expansion attempts versus baseline.",Tool,Must-Have,p.39-40 (§4.5); p.37 (Table 6)
AI,Sampling Security,Context Inclusion Control,Strictly control the scope of context included in sampling requests. Do not aggregate cross-tool outputs into shared model context beyond what is necessary for the task.,Process,Must-Have,p.22-23 (§3.5)
Data,Sampling Security,Sensitive Data Filtering,Filter out sensitive data from sampling requests and responses before surfacing to the model context or external endpoints.,Tool,Must-Have,p.41 (§4.6)
AppSec,Sampling Security,Sampling Request Validation,Validate all parameters and content within sampling requests. Treat server-initiated sampling as untrusted input subject to the same injection defenses as user prompts.,Tool,Must-Have,p.20-21 (§3.4)
Application Development,Sampling Security,User Control,"Ensure users have clear control over sampling requests and results including the ability to review, reject, or pause model-initiated tool calls.",Guideline,Must-Have,p.48 (§7.3)
AI,Sampling Security,Model Preference Security,Handle model preference information securely to prevent preference manipulation attacks where biased tool descriptions steer the model toward unsafe or attacker-controlled tools.,Process,Must-Have,p.20 (§3.3)
QA,Sampling Security,Result Validation,"Verify that sampling results conform to security standards and do not contain malicious instructions, exfiltration payloads, or format-embedded poisoning artifacts.",Process,Must-Have,p.20-21 (§3.4)
AI,LLM Secure Execution,Priority Function Execution,Ensure the LLM can correctly prioritize and execute the intended plugin functions. Apply allow-lists and signed tool definitions to prevent malicious tools from being preferred over legitimate ones.,Process,Must-Have,p.18-20 (§3.3)
AI,LLM Secure Execution,Malicious Prompt Prevention,"The LLM should identify and defend against malicious mnemonic or injection instructions within prompts, tool descriptions, and retrieved content. Apply guardrails and Constitutional AI-style self-critique.",Tool,Must-Have,p.20-21 (§3.4); p.49 (§7.5)
AI,LLM Secure Execution,Secure Invocation,The LLM should securely and correctly invoke relevant MCP functionalities. Validate tool call parameters before execution; enforce intent-aware authorization checks at runtime.,Process,Must-Have,p.38-39 (§4.5)
AI,LLM Secure Execution,Sensitive Information Protection,"Prevent leakage of sensitive information through model outputs, sampling responses, or tool call parameters. Apply DLP scanning and output sanitization before results are surfaced.",Tool,Must-Have,p.22 (§3.5); p.40-41 (§4.6)
AI,Multi-modal Security,Multi-modal Content Filtering,Filter out harmful or sensitive information in multi-modal content (e.g. malicious prompt text within images or PDFs). Treat retrieved multi-modal content as untrusted before injecting into model context.,Tool,Must-Have,p.21 (§3.4)
CyberSecurity,Environment & Coordination,Multi-MCP Environment Security,"Ensure overall security in multi-MCP environments; periodically scan and inspect installed MCPs for poisoned metadata, stale manifests, and misconfigured permissions.",Process,Must-Have,p.26-27 (§3.8); p.46 (§6)
CyberSecurity,Environment & Coordination,Function Priority Hijacking Prevention,Check for potential malicious prompt presets to prevent hijacking of function priority. Verify tool descriptions and metadata for hidden directives before registration.,Process,Must-Have,p.20 (§3.3)
CyberSecurity,Environment & Coordination,Cross-MCP Function Call Control,Implement secure control over cross-MCP function calls to prevent malicious cascade actions. Enforce per-agent scoped tokens; validate audience on every handoff to prevent confused-deputy escalation.,Tool,Must-Have,p.23-24 (§3.6); p.29-30 (§3.9)
AI,Agent & Orchestration Security,Unverified Agent Handoff Prevention,"When one agent or MCP server delegates to another, enforce identity verification and token audience binding. Forbid token passthrough; require fresh scoped credentials on each handoff.",Process,Must-Have,p.29-30 (§3.9)
AI,Agent & Orchestration Security,Agent Collusion Detection,Monitor inter-agent message patterns for signs of coordinated policy bypass or covert communication. Apply cross-agent behavioral correlation in the SIEM to surface colluding workflows.,Tool,Nice-to-Have,p.29-30 (§3.9)
AI,Agent & Orchestration Security,Orchestration Drift Prevention,"Guard multi-agent workflows against accumulated shadow logic and re-enabled deprecated behaviors using policy engines, tool-list change notifications, and periodic orchestration audits.",Process,Must-Have,p.30 (§3.9)
CyberSecurity,Identity & Trust Management,Server Name Collision Prevention,Enforce verified namespaces and PKI-based server identity to prevent typosquatting and look-alike endpoint registration. Require cryptographic proof of identity before client binding.,Tool,Must-Have,p.14-15 (§3.1)
Network,Identity & Trust Management,Mutual TLS Enforcement,Mandate mutual TLS for all MCP client-server communications in production. Validate client certificates; reject connections lacking strong client identity; monitor TLS handshake failures.,Tool,Must-Have,p.14-15 (§3.1); p.32 (§4.1)
CyberSecurity,Identity & Trust Management,Implicit Trust Elimination,"Remove all implicit trust assumptions in MCP deployments. Treat every tool invocation as a fresh authorization decision; verify identity, audience, scope, and expiration on each request.",Process,Must-Have,p.15 (§3.1); p.33 (§4.2)
Infrastructure,Execution Environment Security,Sandbox Escape Mitigation,"Harden container runtimes to prevent sandbox escapes. Apply gVisor, seccomp deny-by-default profiles, and AppArmor/SELinux policies. Monitor for privilege escalation attempts via Falco or eBPF sensors.",Tool,Must-Have,p.25 (§3.7); p.34-35 (§4.3)
