IdP Integration(Cognito / Okta / Azure Entra / Auth0),Use both without conflict — they operate at different layers. Configure TrueFoundry to federate with your enterprise IdP (Okta / Azure Entra) for OIDC-based inbound authentication to the MCP Gateway — this governs which humans and service accounts can reach which MCP servers. Use AgentCore Identity to issue per-agent workload identities (IAM-compatible) that agents present as bearer tokens when calling TrueFoundry's MCP endpoint. The two integrate cleanly: TrueFoundry validates the AgentCore-issued JWT against the same IdP trust chain.
Workload Identity for Agents,"Use AgentCore workload identities for per-agent NHI (Non-Human Identity) tokens — each agent process gets its own identity with specific capability claims. Use TrueFoundry service accounts for team-level machine-to-machine access (e.g., the DevSecOps pipeline that publishes new MCP servers to the TrueFoundry registry). In an MCP request, the agent's AgentCore workload identity token is the bearer token; TrueFoundry's RBAC layer checks whether that identity's team has access to the requested MCP server and tool. The two stack cleanly as fine-grain (agent) inside coarse-grain (team)."
Cedar Policy Engine(Natural Language $\rightarrow$Cedar),"Run Cedar policy enforcement in exactly one place on the MCP tool-call path. If TrueFoundry owns the MCP Gateway, attach Cedar guardrails to TrueFoundry's MCP Pre-Tool hook — this intercepts the tools/call request before it reaches the upstream MCP server and enforces your Cedar policy. Do not also enable AgentCore Policy on the same call path; it would evaluate Cedar twice on the same request, doubling latency and creating split audit logs. Use AgentCore Policy only for tool calls that bypass TrueFoundry entirely (direct AgentCore Gateway invocations from agents running inside AgentCore Runtime)."
Fine-Grained Tool Access Controls (user identity + input params),"Layer both for HIPAA-grade tool access on sensitive member-data MCP tools. Use TrueFoundry RBAC to enforce operation-level access (e.g., the Claims team can invoke the eligibility_check tool; only the FWA team can invoke the fraud_score tool). Then add AgentCore Cedar policy for parameter-level conditions on the highest-risk tools (e.g., delete_claim is only allowed if request.caller == claim.owner AND claim.status == 'DRAFT'). The two policies are not in conflict — TrueFoundry's RBAC is the coarse gate; AgentCore's Cedar is the fine gate applied only to tools that warrant parameter inspection."
Policy Monitoring and Audit Logging(CloudWatch),"Pick TrueFoundry's audit log as the primary MCP-layer system of record for tool-call policy decisions — it is exportable to S3 / custom storage and stays within your VPC, which is critical for HIPAA audit retention requirements. Use CloudWatch for AgentCore Runtime infrastructure-level events (session start/stop, microVM lifecycle, Lambda invocations). Do not route MCP tool-call policy events to both — it creates duplicate records that complicate eDiscovery and HIPAA audit responses."
OPA Guardrails,"Attach TrueFoundry OPA guardrails on TrueFoundry's MCP Pre-Tool hook for tools that require Rego-based policy logic — for example, validating that a member-data query conforms to a complex HIPAA minimum-necessary rule that cannot be expressed cleanly in Cedar. Because AgentCore has no OPA support, these guardrails run exclusively in TrueFoundry's gateway and are fully additive. No coordination with AgentCore is needed."
Agent Trace Visualization(CloudWatch),"Use TrueFoundry observability as the single trace store for all MCP tool-call spans. Configure your AgentCore Runtime agents to emit OTEL traces to TrueFoundry's collector rather than CloudWatch for AI-layer spans. This keeps the full MCP tool-call trace in one place: TrueFoundry shows which tool was called, with what arguments, what the result was, and what the latency was — all in one trace view. Reserve CloudWatch exclusively for AgentCore Runtime infrastructure telemetry (microVM CPU / memory / session lifecycle). This prevents split traces where half a tool call appears in CloudWatch and half in TrueFoundry."
CloudWatch Metrics and Dashboards,"Use TrueFoundry dashboards for AI-layer cost attribution (per-team / per-model / per-MCP-server), which is the metric leadership and chargeback owners need. TrueFoundry's sub-3ms in-memory instrumentation means MCP tool call metrics appear in real time. Use CloudWatch dashboards for AWS infrastructure metrics (AgentCore Runtime session counts, Lambda invocation rates, API Gateway errors). Do not duplicate AI-layer dashboards in CloudWatch — it adds cost and creates two sources of truth for the same token spend number."
PII Masking in Traces,"Run both without conflict — they target different surfaces. Enable TrueFoundry's PII/PHI guardrail on LLM input and output guardrail hooks so member PHI is redacted before it reaches the model and before it appears in TrueFoundry's request logs. Enable AgentCore's PII masking in trace spans so that MCP tool arguments containing member identifiers (member_id, claim_id, NPI) are masked before the trace is written to CloudWatch. Together they close the two HIPAA-relevant logging surfaces: LLM prompt/response logs and infrastructure traces."
Request Logs(spans / event logs),"Export TrueFoundry request/response logs to your own S3 bucket (available on Pro+ plans) for HIPAA-compliant retention. Do not also ingest the same MCP tool-call request/response payloads into CloudWatch — at $0.35–0.50/GB that is double spend for the same log line. Configure AgentCore Runtime to log only infrastructure-level events to CloudWatch (session start/stop, errors, Lambda execution results), not full MCP request/response payloads."
Cross-Account Observability,"Use AgentCore cross-account observability for infrastructure-level telemetry when you run AgentCore Runtime agents across multiple AWS accounts (e.g., a prod account and a non-prod account). For MCP-layer traces, centralize in a single TrueFoundry deployment that all AgentCore agents report to, regardless of which AWS account the Runtime session runs in. This avoids the need for TrueFoundry cross-account federation — the OTEL export from each account points to the same TrueFoundry collector endpoint."
AgentCore Policy Guardrails(tool Cedar enforcement),"Attach TrueFoundry's MCP Pre-Tool guardrail hooks for all tool-call interception: Cedar policy for access control, SQL sanitizer for database-query tools, secrets detection for any tool that returns API responses. Use TrueFoundry's MCP Post-Tool hook for output scanning (secrets / PII in tool results). Only engage AgentCore Policy guardrails for tool calls that go through AgentCore Gateway directly without a TrueFoundry layer — for example, a Lambda tool invoked by an AgentCore Harness agent that is not registered in TrueFoundry. In that narrow case AgentCore Policy is the only guardrail available."
No Built-in LLM Content Moderation,Route all LLM inference calls from AgentCore Runtime agents through TrueFoundry's AI Gateway endpoint rather than directly to Bedrock / OpenAI / Anthropic. This inserts TrueFoundry's LLM input/output guardrails on the inference path at no additional MCP protocol complexity — the agent's model client simply points to TrueFoundry's unified LLM endpoint. TrueFoundry's guardrails then inspect prompts for PHI before the model sees them and scan responses for hallucinations or credential leakage before the agent acts on them. This is a critical HIPAA control for prior-auth and claims agents.
No Analog — SQL Sanitizer,"Attach TrueFoundry's SQL Sanitizer guardrail as a Pre-Tool hook on every MCP tool that accepts SQL or generates database queries — for example a claims_query MCP tool or a member_eligibility_lookup MCP tool backed by a relational store. The guardrail inspects the tool arguments in the MCP tools/call request before the database MCP server executes the query. This is a zero-code HIPAA safeguard — no change to the MCP server code, enforced at the gateway."
No Analog — Secrets Detection,"Attach TrueFoundry's Secrets Detection guardrail as a Post-Tool hook on all MCP servers that return API responses or data from external systems. MCP tool results frequently include raw HTTP responses that may contain credential fragments — the Post-Tool hook scans the result before it is returned to the agent context, preventing the agent from propagating leaked credentials into subsequent tool calls or LLM prompts."
No Analog — Code Safety Linter,"Attach TrueFoundry's Code Safety Linter as a Post-Tool hook on any MCP tool that returns generated code (e.g., a code_generation tool used by an FWA detection pipeline agent). The guardrail intercepts the MCP tool result before the agent executes or stores the code, catching dangerous patterns that could turn a code-gen agent into an RCE vector. No AgentCore equivalent — this is fully additive."
AgentCore is not an LLM router,"Configure AgentCore Runtime agents (LangGraph / CrewAI / Strands) to use TrueFoundry's unified LLM endpoint as their model base_url instead of pointing directly at Bedrock / OpenAI. The agent code does not change — it uses the standard OpenAI SDK or Boto3 client; the endpoint resolves to TrueFoundry's gateway. TrueFoundry then handles provider routing, fallback, and cost attribution transparently. This is the primary integration pattern — TrueFoundry governs all LLM calls; AgentCore governs all agent execution and tool calls."
No Analog — Caching Layer,"Semantic caching is automatically active when AgentCore agents route their LLM calls through TrueFoundry's gateway. For healthcare agents that repeatedly query the same clinical guidelines or eligibility rules, the cache hit rate can be significant. No configuration change needed in AgentCore — enable caching in TrueFoundry's gateway config for the relevant model virtual key."
No Analog — Rate Limiting,"Define TrueFoundry rate-limit policies per team that map to your healthcare business units — e.g., the Claims Engineering team is capped at 500K tokens/day on Claude Sonnet, the FWA team gets a higher quota on more capable models. These limits apply to all LLM calls made by AgentCore agents that route through TrueFoundry's gateway. This is a compliance control — it prevents runaway agent sessions from exhausting model quotas and provides the per-team usage evidence needed for HIPAA access-log requirements."
GitOps Configuration,"Manage all TrueFoundry MCP routing and Cedar guardrail configurations in an enterprise Git repository using declarative YAML files. Any change to tool routing permissions or safety hooks must go through standard pull request flows requiring ARB approval reviews. This creates a HIPAA-compliant change management audit trail for every MCP gateway configuration change — who approved it, when, and what changed. AgentCore configuration changes (Lambda targets, Gateway endpoint updates) are managed through AWS CDK / CloudFormation and should be committed alongside the TrueFoundry YAML in the same repo for a unified IaC posture."
AgentCore Harness (Managed Loop),"Use AgentCore Harness for rapid deployment of single-purpose agents (e.g., a Member Eligibility Lookup agent, a Claim Status agent) where you want a managed agent loop without writing orchestration code. Point the Harness agent's tool list at TrueFoundry's unified MCP endpoint so the agent discovers and calls all approved MCP tools through TrueFoundry's governance layer. The Harness handles the model $\leftrightarrow$ tool loop; TrueFoundry governs the tool-call leg; AgentCore Memory retains session context across turns. This is the simplest combined deployment pattern for single-agent use cases."
